item_id,item_name,price,pred_cuisine,pred_category,pred_is_morning,pred_is_evening,pred_is_sunny,pred_is_rainy
1298,Seafood Tom Yum,840,Thai,Soup,0,1,1,0
1299,Seafood Tom Yum,1160,Thai,Soup,0,1,1,0
1300,Chicken Tom Yum,600,Thai,Soup,0,1,1,0
1301,Chicken Tom Yum,840,Thai,Soup,0,1,1,0
1302,Sweet Corn Soup - Crab,750,Chinese,Soup,0,1,0,1
1303,Sweet Corn Soup - Crab,1000,Chinese,Soup,0,1,0,1
1304,Sweet Corn Soup - Chicken,530,Chinese,Soup,1,1,0,1
1305,Sweet Corn Soup - Chicken,780,Chinese,Soup,0,1,0,1
1306,Sweet Corn Soup - Vegetable,480,Chinese,Soup,1,1,0,1
1307,Sweet Corn Soup - Vegetable,700,Chinese,Soup,0,1,0,1
1308,Mixed Mee Hoon Soup,770,Chinese,Soup,0,1,1,0
1309,Mixed Mee Hoon Soup,1120,Chinese,Soup,0,1,0,0
1310,Seafood Soup,840,Chinese,Soup,0,1,0,1
1311,Seafood Soup,1160,Chinese,Soup,0,1,0,1
1312,Prawn and Cucumber Soup,900,Chinese,Soup,0,1,0,1
1313,Spicy Vegetable Soup,770,Chinese,Soup,0,1,1,0
1314,Chicken Hot and Spicy Soup,850,Chinese,Soup,0,1,0,0
1315,Spicy Beef Soup,1000,Chinese,Soup,0,1,0,1
1316,Cream of Mushroom and Spinach Soup,950,Continental,Soup,0,1,0,1
1317,Cream of Chicken,950,Continental,Soup,0,1,1,0
1318,Laksa Seafood Soup,1150,Chinese,Soup,0,1,1,0
1319,Tomato Egg Soup,750,Chinese,Soup,0,1,0,1
1320,Chinese Omelette - Vegetables,690,Chinese,Beverage,1,1,1,0
1321,Chinese Omelette - Chicken,810,Chinese,Main,1,1,1,0
1322,Chinese Omelette - Prawn,950,Chinese,Main,1,1,1,0
1323,Sri Lankan Omelette,360,Sri Lankan,Beverage,1,1,1,0
1324,Fried Egg,300,Asian,Side Dish,1,1,1,0
1325,Cheese Omelette,480,Western,Side dish,1,1,1,0
1326,Chicken Omelette - Sri Lankan Style,690,Sri Lankan,Main,1,1,1,0
1327,Mixed Omelette,890,Chinese,Main,1,1,1,0
1328,Bacon and Sausages Omelette,890,Western,Beverage,1,1,0,1
1329,Kang Kung with Garlic,360,Asian,Beverage,1,1,1,0
1330,Kang Kung with Garlic,420,Asian,Beverage,0,1,1,0
1331,Mixed Vegetables with Mushrooms and Baby Corn,530,Asian,Beverage,0,1,1,0
1332,Mixed Vegetables with Mushrooms and Baby Corn,700,Asian,Beverage,0,1,1,0
1333,Chop Suey,480,Asian,Beverage,1,1,1,0
1334,Chop Suey,660,Asian,Beverage,1,1,1,0
1335,String Beans Szechuan Style with Cashew,500,Chinese,Beverage,1,1,1,0
1336,String Beans Szechuan Style with Cashew,670,Chinese,Beverage,0,1,1,0
1337,Devilled Mushrooms,530,Asian,Side dish,0,1,1,0
1338,Devilled Mushrooms,710,Asian,Beverage,0,1,1,0
1339,Hot Batter Mushrooms,530,Asian,Beverage,0,1,1,0
1340,Hot Batter Mushrooms,670,Asian,Beverage,0,1,1,0
1341,Hot Batter Baby Corn,720,Asian,Beverage,0,1,1,0
1342,Hot Batter Baby Corn,900,Asian,Beverage,0,1,1,0
1343,Mushrooms with Oyster Sauce,500,Asian,Beverage,0,1,1,0
1344,Mushrooms with Oyster Sauce,720,Asian,Beverage,0,1,1,0
1345,Spicy Potatoes,630,Asian,Beverage,1,1,1,0
1346,Spicy Potatoes,820,Asian,Beverage,0,1,1,0
1347,Garlic Spinach,400,Asian,Side Dish,1,1,1,0
1348,Garlic Spinach,530,Asian,Side Dish,1,1,1,0
1349,Chinese Chilli Vegetables,530,Chinese,Side dish,1,1,1,0
1350,Chinese Chilli Vegetables,760,Chinese,Side dish,1,1,1,0
