user_id,item_id,rating,date
alice001,1302,3,2024-01-01
alice001,1529,5,2024-01-01
alice001,1457,4,2024-01-01
alice001,1303,4,2024-01-01
alice001,1322,3,2024-01-01
alice001,1307,3,2024-01-01
alice001,1398,4,2024-01-01
bob001,1307,5,2024-01-01
bob001,1530,4,2024-01-01
bob001,1303,4,2024-01-01
bob001,1321,3,2024-01-01
bob001,1302,4,2024-01-01
bob001,1350,4,2024-01-01
bob001,1399,4,2024-01-01
9b218e18-ff0e-43e3-a0d8-582014e4cd5a,1457,4,2024-01-01
9b218e18-ff0e-43e3-a0d8-582014e4cd5a,1320,4,2024-01-01
9b218e18-ff0e-43e3-a0d8-582014e4cd5a,1399,5,2024-01-01
9b218e18-ff0e-43e3-a0d8-582014e4cd5a,1529,5,2024-01-01
9b218e18-ff0e-43e3-a0d8-582014e4cd5a,1306,4,2024-01-01
9b218e18-ff0e-43e3-a0d8-582014e4cd5a,1322,4,2024-01-01
9b218e18-ff0e-43e3-a0d8-582014e4cd5a,1398,4,2024-01-01
9b218e18-ff0e-43e3-a0d8-582014e4cd5a,1350,5,2024-01-01
8ee758ae-a565-4ff2-be77-88adb04ef49a,1303,3,2024-01-01
8ee758ae-a565-4ff2-be77-88adb04ef49a,1307,5,2024-01-01
8ee758ae-a565-4ff2-be77-88adb04ef49a,1304,5,2024-01-01
8ee758ae-a565-4ff2-be77-88adb04ef49a,1531,4,2024-01-01
8ee758ae-a565-4ff2-be77-88adb04ef49a,1305,5,2024-01-01
bccb1f60-3ffc-4c8d-a95e-fe46c6a5ca29,1415,5,2024-01-01
bccb1f60-3ffc-4c8d-a95e-fe46c6a5ca29,1350,5,2024-01-01
bccb1f60-3ffc-4c8d-a95e-fe46c6a5ca29,1349,5,2024-01-01
bccb1f60-3ffc-4c8d-a95e-fe46c6a5ca29,1414,4,2024-01-01
bccb1f60-3ffc-4c8d-a95e-fe46c6a5ca29,1457,4,2024-01-01
bccb1f60-3ffc-4c8d-a95e-fe46c6a5ca29,1529,3,2024-01-01
